,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
54,2021-10-12 16:48:24.743,-0.546663,-1.074915,12.983102,2.208944,-0.670407,0.221479,11.567828,-23.772104,10.103703,-153.718741,-4.711071,-0.162193,drop_and_pickup
55,2021-10-12 16:48:24.792,-1.691033,1.567391,12.740007,1.495173,1.350403,-1.117477,11.800328,-22.552923,12.524186,-151.053954,-9.138762,3.052563,drop_and_pickup
56,2021-10-12 16:48:24.842,-0.803828,2.736909,11.917767,1.78219,0.523466,-0.728991,12.878195,-20.402718,15.194597,-147.953036,-13.861718,5.493373,drop_and_pickup
57,2021-10-12 16:48:24.892,-1.554368,2.790946,9.861044,1.376869,-0.491735,0.600711,13.529568,-18.74192,16.78784,-148.747114,-18.096189,4.176155,drop_and_pickup
58,2021-10-12 16:48:24.942,-0.930764,1.577869,7.069649,0.60992,-0.588271,0.7979,13.701429,-18.579147,16.998295,-151.010572,-20.405042,1.730397,drop_and_pickup
59,2021-10-12 16:48:24.992,0.164358,2.073937,5.544919,-0.125032,-0.569878,0.839563,13.496981,-19.112762,16.494015,-153.52704,-20.331424,-0.854791,drop_and_pickup
60,2021-10-12 16:48:25.042,0.305814,1.567091,4.468358,-0.334711,-0.479585,0.706717,13.038834,-20.287457,15.428077,-155.735237,-19.366736,-3.087607,drop_and_pickup
61,2021-10-12 16:48:25.092,0.697549,2.468367,4.458928,-0.578659,-0.674511,0.61412,12.597365,-21.250143,14.305053,-157.464387,-17.703294,-5.452641,drop_and_pickup
62,2021-10-12 16:48:25.142,1.276396,2.606829,3.857329,-0.764533,-0.342186,0.418213,12.368154,-22.337112,13.094648,-158.539466,-15.447183,-6.964485,drop_and_pickup
63,2021-10-12 16:48:25.192,1.895808,1.426084,3.901337,-0.693892,-0.063921,-0.275777,12.259095,-22.895117,12.092456,-157.87306,-13.449025,-7.08025,drop_and_pickup
64,2021-10-12 16:48:25.242,1.565744,0.75039,4.346811,-1.360771,-0.248668,-0.573946,12.935385,-22.86128,11.436737,-155.834908,-10.281009,-7.573005,drop_and_pickup
65,2021-10-12 16:48:25.292,0.00943,0.287253,-0.585283,-1.523978,-1.578414,-0.089305,13.929111,-22.838961,9.26563,-154.549928,-6.019001,-12.22103,drop_and_pickup
66,2021-10-12 16:48:25.342,0.031435,-0.000898,-0.637674,-1.722451,-0.368511,0.097706,14.069248,-23.457035,7.1505,-153.630485,-1.268943,-13.785148,drop_and_pickup
67,2021-10-12 16:48:25.392,-23.174508,-9.710307,80.244531,-0.281554,5.03212,-0.567949,10.666619,-24.203987,9.876129,-153.0486,2.815312,16.833896,drop_and_pickup
68,2021-10-12 16:48:25.442,-2.613565,0.24055,2.663411,-0.98062,-0.864802,-0.244313,9.647929,-24.318962,11.539786,-152.635113,5.112752,12.932036,drop_and_pickup
69,2021-10-12 16:48:25.492,-0.669857,-0.420775,0.116458,-1.035016,1.960335,-0.136031,10.013582,-24.750853,10.031209,-152.987187,8.075058,17.573849,drop_and_pickup
70,2021-10-12 16:48:25.542,-3.77994,-2.231709,12.764107,3.762408,-2.327899,0.771839,9.286638,-24.730274,10.917696,-152.631335,2.739034,13.856375,drop_and_pickup
71,2021-10-12 16:48:25.592,-1.600172,-0.564626,10.131681,-0.449763,0.516879,0.017042,9.948429,-24.279224,11.426543,-152.794144,3.660046,13.301866,drop_and_pickup
72,2021-10-12 16:48:25.641,-2.092648,-1.031355,6.905889,-0.444567,1.48232,0.003755,9.538127,-24.578022,11.444348,-153.106568,4.834433,17.412568,drop_and_pickup
73,2021-10-12 16:48:25.691,-3.807333,-1.110541,9.995165,0.627974,-1.407189,0.070346,9.099262,-24.743322,11.606261,-153.05898,3.848419,15.010375,drop_and_pickup
74,2021-10-12 16:48:25.741,-1.734743,-0.352068,9.649085,-0.12929,0.40196,-0.0266,9.578221,-24.635838,11.419765,-153.04551,3.640597,14.274053,drop_and_pickup
